X (m),Y (m),Z (m),DX
-0.008334608,0.17341691,0.417613935,-1.95E-05
-0.008348693,0.18118164,0.410071594,-1.14E-05
-0.008353749,0.026032281,0.4456807,-2.69E-05
-0.008363392,0.204585609,0.176087298,7.95E-05
-0.008391456,0.12750086,0.378151788,2.16E-05
-0.00839919,0.16565191,0.424991574,-2.70E-05
-0.00840041,0.150659125,0.187776174,2.99E-05
-0.008440238,0.119276769,0.442473114,-3.66E-05
-0.008454589,0.18931509,0.18501056,5.87E-05
-0.008466374,0.057041644,0.143926269,9.89E-05
-0.008469685,0.196616591,0.389592669,1.27E-05
-0.008470505,0.188937901,0.402626366,-2.82E-06
-0.008478734,0.14889258,0.436626071,-1.45E-05
-0.008503091,0.033686304,0.445723462,-2.67E-05
-0.008520571,0.010416618,0.445764983,-2.79E-05
-0.008521555,0.01822185,0.445656549,-2.91E-05
-0.00852557,0.157902138,0.431804036,-3.23E-05
-0.008532449,0.196789888,0.170352165,8.99E-05
-0.008596336,0.196533764,0.384641603,2.11E-05
-0.008602885,0.181241502,0.164043498,9.10E-05
-0.00865403,0.003289559,0.445776744,-2.41E-05
-0.008673981,0.064806569,0.143856183,0.000100494
-0.008687355,0.135072985,0.378042338,1.63E-05
-0.008706981,0.127017973,0.442544457,-3.62E-05
-0.008730584,0.196645744,0.395670277,4.62E-06
-0.008743737,0.158431688,0.187734106,2.76E-05
-0.008763648,0.181195862,0.380613464,4.49E-05
-0.008786568,0.211035159,0.179985071,3.35E-05
-0.008832993,0.142728595,0.378085665,1.72E-05
-0.008834241,0.049375239,0.445715726,-2.61E-05
-0.008836209,0.187694555,0.165191031,4.61E-05
-0.008852536,0.041466717,0.445776874,-2.69E-05
-0.008880291,0.057150149,0.445686724,-2.53E-05
-0.008888959,0.072569519,0.143860388,0.000102078
-0.008897083,0.120431517,0.14930853,4.68E-05
-0.008904082,0.009166241,0.1892797,1.40E-06
-0.008906069,0.126931497,0.150350009,8.74E-05
-0.008926688,0.181133073,0.417553949,-1.79E-05
-0.008929,0.151524583,0.438249148,-1.52E-05
-0.008971413,0.173367737,0.424924196,-2.57E-05
-0.008974346,0.19706162,0.184988081,6.19E-05
-0.008975147,0.188983937,0.410028454,-9.96E-06
-0.009040704,0.212275219,0.175987531,8.24E-05
-0.009050195,0.150517845,0.378155642,1.73E-05
-0.009058268,0.202736805,0.385392188,9.03E-06
-0.009085476,0.165615975,0.431877791,-3.13E-05
-0.009093449,0.080337202,0.143971749,0.000104929
-0.009112171,0.134765182,0.442733477,-3.73E-05
-0.009112866,0.159250697,0.155986182,4.43E-05
-0.009129087,0.196710077,0.402620001,-1.43E-06
-0.009142051,0.204488063,0.17049166,9.10E-05
-0.009143675,0.213677925,0.181517689,4.02E-05
-0.009166153,0.204116954,0.389655548,1.08E-05
-0.009185718,0.166200908,0.187834181,2.56E-05
